event_id,ot_str,lat,lon,dep_km,h_err_km,z_err_km,rms,nphs,gap
20220905062407844_00000071.sum,2022-09-05T06:24:07.435,29.791460,102.012270,11.956,1.614,5.582,0.306,24,86.2
20220905062453464_00000072.sum,2022-09-05T06:24:53.044,29.499927,102.152871,11.143,1.796,6.311,0.263,18,141.9
20220905062605575_00000073.sum,2022-09-05T06:26:05.310,29.395799,102.208831,13.291,1.543,6.196,0.339,23,108.8
20220905062849185_00000074.sum,2022-09-05T06:28:48.718,29.459282,102.181526,11.797,2.548,7.755,0.378,14,165.8
20220905063108409_00000075.sum,2022-09-05T06:31:08.027,29.441455,102.195585,11.946,1.852,6.203,0.340,20,144.9
20220905063129624_00000076.sum,2022-09-05T06:31:28.978,29.475804,102.100915,11.714,4.743,13.487,0.389,10,225.8
20220905063247810_00000077.sum,2022-09-05T06:32:47.300,29.466155,102.168833,14.363,1.573,7.998,0.309,21,106.6
20220905063457349_00000078.sum,2022-09-05T06:34:56.628,29.509839,102.124136,16.155,2.143,10.746,0.363,16,101.2
20220905063559005_00000079.sum,2022-09-05T06:35:58.549,29.798052,102.003168,12.112,1.903,4.790,0.223,13,102.8
20220905063711253_00000080.sum,2022-09-05T06:37:10.851,29.390811,102.170688,13.120,2.678,8.616,0.252,12,178.2
20220905063853402_00000081.sum,2022-09-05T06:38:53.355,29.801476,102.014600,12.808,3.117,7.129,0.236,12,191.9
20220905063942556_00000082.sum,2022-09-05T06:39:41.690,29.847322,102.004708,14.866,3.935,9.793,0.080,10,266.8
20220905064158799_00000083.sum,2022-09-05T06:41:58.606,29.435108,102.182276,16.611,1.793,7.874,0.285,15,140.7
20220905064234184_00000084.sum,2022-09-05T06:42:34.107,29.457353,102.173941,12.562,1.613,7.367,0.235,13,142.6
20220905064331070_00000085.sum,2022-09-05T06:43:29.186,29.703298,102.035565,14.668,5.638,16.219,0.185,9,248.1
20220905064420534_00000086.sum,2022-09-05T06:44:20.444,29.808723,101.969825,12.929,2.127,6.209,0.227,14,125.6
20220905064501849_00000087.sum,2022-09-05T06:45:01.394,29.428281,102.175452,14.694,1.574,8.309,0.375,17,104.8
20220905065019110_00000088.sum,2022-09-05T06:50:18.892,29.437525,102.149314,14.243,1.883,9.146,0.269,15,138.7
20220905065120142_00000089.sum,2022-09-05T06:51:18.648,29.578599,102.025056,20.491,4.723,15.002,0.169,14,275.1
20220905065258882_00000090.sum,2022-09-05T06:52:58.497,29.512114,102.132092,13.184,1.432,7.008,0.330,23,102.5
20220905065451706_00000091.sum,2022-09-05T06:54:50.951,29.426947,102.171626,17.212,2.037,8.842,0.420,17,103.8
20220905065636635_00000092.sum,2022-09-05T06:56:36.166,29.790744,101.915264,12.299,12.887,16.132,0.142,6,197.5
20220905065702412_00000093.sum,2022-09-05T06:57:01.214,29.573772,102.018441,15.250,4.912,13.288,0.194,13,245.0
20220905065829682_00000094.sum,2022-09-05T06:58:29.354,29.476906,102.170505,13.442,1.835,7.952,0.327,18,147.8
20220905070020830_00000095.sum,2022-09-05T07:00:19.205,29.707621,102.039599,19.021,7.986,19.801,0.093,8,288.2
20220905070108254_00000096.sum,2022-09-05T07:01:07.997,29.421971,102.175005,15.784,1.637,7.554,0.330,19,104.2
20220905070214041_00000097.sum,2022-09-05T07:02:13.665,29.458901,102.164941,15.131,1.606,8.120,0.348,24,105.1
20220905070408242_00000098.sum,2022-09-05T07:04:06.984,29.607851,101.916410,22.028,7.570,19.060,0.278,10,189.5
20220905070648769_00000099.sum,2022-09-05T07:06:47.172,29.705508,102.040707,19.698,5.560,18.564,0.076,11,244.7
20220905070855695_00000100.sum,2022-09-05T07:08:54.941,29.712275,101.928272,17.682,14.279,19.085,0.205,7,186.8
20220905071155538_00000101.sum,2022-09-05T07:11:55.118,29.402089,102.176624,11.802,2.459,7.293,0.273,15,154.6
20220905071253304_00000102.sum,2022-09-05T07:12:52.923,29.440989,102.183622,17.034,1.673,7.924,0.389,25,107.9
20220905071412497_00000103.sum,2022-09-05T07:14:12.194,29.425037,102.200342,12.181,1.461,6.577,0.253,24,109.9
20220905071451979_00000104.sum,2022-09-05T07:14:51.158,29.735722,101.943316,17.260,19.225,24.075,0.122,6,209.2
20220905071521404_00000105.sum,2022-09-05T07:15:20.968,29.433456,102.169148,14.246,1.611,7.584,0.277,19,104.2
20220905071645283_00000106.sum,2022-09-05T07:16:44.780,29.447798,102.162340,13.352,2.016,8.420,0.396,18,104.7
20220905071849037_00000107.sum,2022-09-05T07:18:48.581,29.857071,102.013644,15.605,3.341,9.226,0.095,11,221.1
20220905071950218_00000108.sum,2022-09-05T07:19:49.722,29.398209,102.190379,14.367,1.562,7.709,0.205,14,104.1
20220905072050385_00000109.sum,2022-09-05T07:20:50.522,29.853064,102.016504,14.663,3.747,10.330,0.070,8,222.1
20220905072138499_00000110.sum,2022-09-05T07:21:37.947,29.799016,102.013827,11.680,1.561,5.387,0.288,25,85.9
20220905072237347_00000111.sum,2022-09-05T07:22:36.092,29.574523,102.014878,14.785,4.498,13.435,0.134,15,244.7
20220905072337451_00000112.sum,2022-09-05T07:23:36.858,29.861199,102.008338,15.943,3.902,9.535,0.042,10,261.8
20220905072442872_00000113.sum,2022-09-05T07:24:42.498,29.476045,102.174469,13.426,1.551,7.744,0.367,21,108.2
20220905072526702_00000114.sum,2022-09-05T07:25:25.447,29.714238,102.058911,17.429,4.774,17.300,0.125,11,242.3
20220905072634984_00000115.sum,2022-09-05T07:26:34.649,29.455401,102.167752,16.331,1.621,8.289,0.372,25,105.8
20220905072833626_00000116.sum,2022-09-05T07:28:33.679,29.842722,102.014385,13.986,4.583,10.074,0.074,10,184.2
20220905072858750_00000117.sum,2022-09-05T07:28:58.188,29.799808,102.001323,12.398,1.988,6.980,0.213,16,99.9
20220905073035074_00000118.sum,2022-09-05T07:30:34.469,29.761585,101.821495,17.667,4.045,13.242,0.198,9,150.5
20220905073131452_00000119.sum,2022-09-05T07:31:30.869,29.736644,102.065287,15.087,3.356,10.624,0.213,13,139.7
20220905073221383_00000120.sum,2022-09-05T07:32:21.128,29.422331,102.185608,14.429,1.978,8.889,0.314,14,139.8
20220905073429541_00000121.sum,2022-09-05T07:34:29.075,29.449739,102.171949,13.882,1.665,7.663,0.341,21,105.8
20220905073534559_00000122.sum,2022-09-05T07:35:34.229,29.758576,102.028714,12.380,2.088,6.147,0.254,18,112.8
20220905073738948_00000123.sum,2022-09-05T07:37:38.385,29.759796,102.035049,11.642,2.310,5.998,0.247,18,134.5
20220905074006409_00000124.sum,2022-09-05T07:40:05.939,29.435446,102.162137,17.027,1.688,8.415,0.393,22,103.1
20220905074223717_00000125.sum,2022-09-05T07:42:22.884,29.757092,102.074563,16.630,3.417,16.072,0.143,10,143.9
20220905074457464_00000126.sum,2022-09-05T07:44:57.076,29.443927,102.163509,13.064,1.948,8.237,0.320,15,138.8
20220905074523051_00000127.sum,2022-09-05T07:45:22.528,29.624962,102.045423,11.396,2.801,6.229,0.285,14,161.2
20220905074640720_00000128.sum,2022-09-05T07:46:39.021,29.686567,101.995044,19.709,6.324,18.605,0.054,9,248.6
20220905074701541_00000129.sum,2022-09-05T07:47:01.127,29.471739,102.165892,15.069,1.802,8.193,0.327,22,106.4
20220905074837965_00000130.sum,2022-09-05T07:48:37.729,29.447923,102.159422,13.586,1.758,6.400,0.351,22,102.9
20220905075008309_00000131.sum,2022-09-05T07:50:06.954,29.418739,102.113664,38.529,12.492,16.249,0.576,10,92.9
20220905075056240_00000132.sum,2022-09-05T07:50:55.824,29.476725,102.189900,12.745,2.077,8.398,0.306,16,111.6
20220905075221073_00000133.sum,2022-09-05T07:52:20.591,29.673319,102.126286,18.514,2.156,7.173,0.366,16,88.6
20220905075249849_00000134.sum,2022-09-05T07:52:49.408,29.477360,102.173373,13.369,1.559,5.592,0.346,27,108.0
20220905075330670_00000135.sum,2022-09-05T07:53:30.199,29.419627,102.185991,10.788,2.274,8.391,0.161,9,140.6
20220905075509111_00000136.sum,2022-09-05T07:55:08.669,29.461947,102.160078,14.158,1.689,5.977,0.321,22,136.0
20220905075620937_00000137.sum,2022-09-05T07:56:20.544,29.633157,102.089002,10.768,2.898,7.209,0.305,10,146.7
20220905075725997_00000138.sum,2022-09-05T07:57:25.934,29.506102,102.129276,13.358,1.543,5.882,0.358,24,101.7
20220905075752330_00000139.sum,2022-09-05T07:57:51.775,29.634220,102.040990,11.232,2.755,8.608,0.229,9,186.3
20220905075810385_00000140.sum,2022-09-05T07:58:09.918,29.440449,102.167331,14.560,1.518,6.172,0.390,25,104.1
20220905075842251_00000141.sum,2022-09-05T07:58:41.745,29.554720,102.112322,14.985,1.876,7.316,0.326,16,138.8
20220905080059109_00000142.sum,2022-09-05T08:00:58.936,29.567785,102.023075,13.633,2.047,7.485,0.264,11,124.3
20220905080142585_00000143.sum,2022-09-05T08:01:42.405,29.496642,102.206108,14.437,2.665,9.110,0.410,14,152.8
20220905080510699_00000144.sum,2022-09-05T08:05:10.625,29.791125,102.015179,11.311,1.749,5.656,0.257,14,96.0
20220905080714891_00000145.sum,2022-09-05T08:07:14.372,29.431050,102.167502,16.082,1.537,6.935,0.290,23,103.4
20220905080747894_00000146.sum,2022-09-05T08:07:47.298,29.621432,102.035118,11.713,1.204,4.909,0.257,27,83.8
20220905080940003_00000147.sum,2022-09-05T08:09:39.370,29.442129,102.173706,14.640,1.662,6.118,0.337,24,105.6
20220905081051485_00000148.sum,2022-09-05T08:10:51.038,29.442812,102.162706,13.711,1.646,6.118,0.316,24,103.8
20220905081237225_00000149.sum,2022-09-05T08:12:36.845,29.797596,102.014831,11.056,1.346,5.277,0.269,25,66.1
20220905081418043_00000150.sum,2022-09-05T08:14:18.164,29.816687,101.992212,16.864,3.424,10.030,0.195,9,108.6
20220905081556177_00000151.sum,2022-09-05T08:15:56.077,29.908986,101.986194,12.018,2.973,6.498,0.074,10,250.0
20220905081707240_00000152.sum,2022-09-05T08:17:06.790,29.465924,102.168701,14.468,1.723,7.224,0.302,23,106.6
20220905081904910_00000153.sum,2022-09-05T08:19:04.417,29.622688,102.036283,12.445,1.223,5.139,0.289,27,83.8
20220905082017557_00000154.sum,2022-09-05T08:20:16.847,29.428425,102.156323,10.007,2.250,10.917,0.248,13,127.3
20220905082241194_00000155.sum,2022-09-05T08:22:40.803,29.653930,102.086330,11.890,1.758,5.747,0.254,19,104.0
20220905082351468_00000156.sum,2022-09-05T08:23:50.990,29.482467,102.145039,13.664,1.565,5.629,0.372,23,103.0
20220905082439898_00000157.sum,2022-09-05T08:24:39.220,29.754262,102.031841,11.185,1.633,5.585,0.220,18,91.3
20220905082509610_00000158.sum,2022-09-05T08:25:09.055,29.615855,102.038562,11.575,1.409,5.365,0.290,25,85.8
20220905082540560_00000159.sum,2022-09-05T08:25:39.199,29.717926,102.030152,20.372,7.288,18.383,0.048,9,285.3
20220905082632760_00000160.sum,2022-09-05T08:26:32.213,29.580872,102.114037,10.745,2.246,4.938,0.297,20,116.9
20220905082717821_00000161.sum,2022-09-05T08:27:17.330,29.441365,102.170625,14.823,1.550,6.628,0.354,24,105.2
20220905082858458_00000162.sum,2022-09-05T08:28:57.843,29.632359,102.029396,10.801,1.313,5.269,0.259,20,79.7
20220905082950698_00000163.sum,2022-09-05T08:29:50.097,29.681051,102.090527,7.683,2.522,7.304,0.193,15,138.2
20220905083038017_00000164.sum,2022-09-05T08:30:37.561,29.618246,102.046279,13.069,2.015,6.969,0.265,13,116.6
20220905083206772_00000165.sum,2022-09-05T08:32:06.209,29.640140,102.030996,10.651,1.230,4.581,0.270,25,78.8
20220905083341376_00000166.sum,2022-09-05T08:33:40.775,29.634178,102.010084,10.350,1.868,7.346,0.225,13,107.1
20220905083533506_00000167.sum,2022-09-05T08:35:33.329,29.820275,102.003828,11.681,2.664,6.973,0.276,11,120.8
20220905083546597_00000168.sum,2022-09-05T08:35:45.981,29.424283,102.175456,13.750,1.905,7.045,0.269,18,104.5
20220905083609152_00000169.sum,2022-09-05T08:36:08.703,29.462643,102.160282,14.466,1.621,8.715,0.287,18,104.8
20220905083711085_00000170.sum,2022-09-05T08:37:10.905,29.752391,102.047697,12.474,3.414,7.511,0.283,13,194.7
20220905083745352_00000171.sum,2022-09-05T08:37:44.857,29.633989,102.024994,11.679,1.316,4.846,0.273,24,78.6
20220905083823983_00000172.sum,2022-09-05T08:38:23.265,29.635542,102.044396,10.331,2.237,7.190,0.221,12,152.6
20220905083904443_00000173.sum,2022-09-05T08:39:03.153,29.787763,102.056870,21.815,4.991,16.920,0.290,9,181.9
