event_id,ot_str,lat,lon,dep_km,h_err_km,z_err_km,rms,nphs,gap
20220905091558600_00000171.sum,2022-09-05T09:15:58.653,29.857713,102.005283,14.752,5.546,11.148,0.062,8,261.2
20220905091659800_00000172.sum,2022-09-05T09:16:58.948,29.805627,102.020565,11.581,1.864,6.277,0.236,13,100.8
20220905091846180_00000173.sum,2022-09-05T09:18:45.600,29.460833,102.159427,14.061,1.438,6.110,0.326,27,104.1
20220905091938790_00000174.sum,2022-09-05T09:19:38.233,29.516274,102.135819,12.156,1.621,5.582,0.354,22,102.6
20220905092004350_00000175.sum,2022-09-05T09:20:03.499,29.440595,102.161180,28.434,1.972,4.351,0.554,14,135.1
20220905092107050_00000176.sum,2022-09-05T09:21:06.328,29.629236,102.033309,10.320,1.580,5.774,0.241,19,99.5
20220905092410260_00000177.sum,2022-09-05T09:24:09.875,29.614305,102.035970,14.091,1.538,6.619,0.326,26,85.2
20220905092522610_00000178.sum,2022-09-05T09:25:21.998,29.687193,102.087553,11.094,1.428,4.709,0.313,23,69.9
20220905092551480_00000179.sum,2022-09-05T09:25:50.845,29.829460,102.010270,12.186,8.911,11.195,4.068,10,151.0
20220905092723230_00000180.sum,2022-09-05T09:27:22.817,29.520373,102.122620,14.030,1.690,6.953,0.354,18,124.7
20220905092901680_00000181.sum,2022-09-05T09:29:01.102,29.681589,102.091177,11.681,1.617,5.170,0.228,20,74.3
20220905092942810_00000182.sum,2022-09-05T09:29:41.817,29.662052,102.036260,8.968,4.648,11.743,0.332,9,98.6
20220905093131210_00000183.sum,2022-09-05T09:31:30.673,29.534662,101.904789,15.409,2.528,7.898,0.238,13,162.2
20220905093321750_00000184.sum,2022-09-05T09:33:21.332,29.739174,102.024011,12.927,1.948,8.260,0.310,14,71.2
20220905093522950_00000185.sum,2022-09-05T09:35:22.385,29.798654,102.006864,11.220,1.547,5.247,0.286,19,95.7
20220905093730520_00000186.sum,2022-09-05T09:37:30.183,29.426058,102.177392,13.710,2.685,7.464,0.244,14,138.5
20220905093814240_00000187.sum,2022-09-05T09:38:13.578,29.785377,102.021269,11.402,1.401,4.977,0.261,20,65.6
