event_id,ot_str,lat,lon,dep_km,h_err_km,z_err_km,rms,nphs,gap
20220905001002000_00001202.sum,2022-09-05T00:10:01.801,22.882712,104.085613,13.317,4.731,8.753,0.280,21,269.9
20220905001002000_00001322.sum,2022-09-05T00:10:01.585,23.272852,99.223788,9.051,8.674,11.284,0.519,26,310.6
20220905001002000_00001382.sum,2022-09-05T00:10:01.745,23.321886,103.624486,12.968,3.559,5.940,0.478,33,227.6
20220905001002000_00001502.sum,2022-09-05T00:10:02.917,23.737887,98.246866,44.001,6.918,26.648,0.468,39,321.8
20220905001002000_00001562.sum,2022-09-05T00:10:01.586,23.783982,103.127239,21.754,2.160,3.758,0.360,42,175.7
20220905001002000_00001682.sum,2022-09-05T00:10:03.709,24.159512,98.282326,51.425,6.054,21.579,0.347,42,308.4
20220905001002000_00001742.sum,2022-09-05T00:10:01.385,24.205392,103.146194,15.633,1.191,3.843,0.398,42,54.0
20220905001002000_00001862.sum,2022-09-05T00:10:02.621,24.635050,98.741503,10.518,4.587,10.038,0.469,45,262.3
20220905001002000_00001922.sum,2022-09-05T00:10:01.537,24.660194,103.141388,26.073,1.863,3.617,0.277,22,45.6
20220905001002000_00001982.sum,2022-09-05T00:10:01.592,24.740440,103.283816,50.873,14.840,27.156,1.185,36,318.1
20220905001002000_00002042.sum,2022-09-05T00:10:02.450,25.100834,98.237800,35.215,7.089,25.794,0.306,40,279.8
20220905001002000_00002102.sum,2022-09-05T00:10:01.299,25.117088,102.153231,26.565,1.407,2.953,0.233,27,41.9
20220905001002000_00002162.sum,2022-09-05T00:10:02.637,25.082319,107.135018,40.340,9.892,35.286,0.368,40,314.6
20220905001002000_00002222.sum,,,,,,,,,
20220905001002000_00002282.sum,2022-09-05T00:10:01.467,25.568962,102.154846,16.048,1.854,8.505,0.359,24,76.8
20220905001002000_00002342.sum,2022-09-05T00:10:01.549,25.547850,106.152960,9.463,13.006,17.628,0.098,10,293.6
20220905001002000_00002462.sum,2022-09-05T00:10:01.732,26.013850,101.647766,5.088,1.055,4.190,0.527,42,37.2
20220905001002000_00002522.sum,2022-09-05T00:10:02.154,25.989235,106.096797,22.311,3.678,5.963,0.560,29,243.2
20220905001002000_00002642.sum,2022-09-05T00:10:01.234,26.458481,101.148693,22.857,1.433,4.531,0.465,40,32.4
20220905001002000_00002702.sum,2022-09-05T00:10:01.890,26.448717,105.634475,15.888,5.141,10.787,0.501,14,204.8
20220905001002000_00002822.sum,2022-09-05T00:10:01.422,26.896913,100.646669,21.955,1.954,9.697,0.329,18,61.9
20220905001002000_00002882.sum,2022-09-05T00:10:01.357,26.892544,105.177576,26.372,2.049,3.732,0.439,42,164.4
20220905001002000_00003002.sum,2022-09-05T00:10:01.177,27.342203,100.127581,16.246,1.681,5.313,0.492,43,95.6
20220905001002000_00003062.sum,2022-09-05T00:10:01.274,27.347783,105.173625,14.501,1.543,4.668,0.363,40,106.4
20220905001002000_00003182.sum,2022-09-05T00:10:01.534,27.806384,100.633632,21.501,1.302,4.669,0.393,34,50.8
20220905001002000_00003242.sum,2022-09-05T00:10:01.466,27.791173,105.695748,23.385,3.470,6.102,0.390,26,209.5
20220905001002000_00003362.sum,2022-09-05T00:10:01.353,28.256703,101.114068,12.813,2.329,5.096,0.418,20,89.8
20220905001002000_00003422.sum,2022-09-05T00:10:01.366,28.247215,105.720733,27.416,4.134,5.127,0.398,42,210.2
20220905001002000_00003542.sum,2022-09-05T00:10:01.295,28.698575,100.613735,10.766,1.189,3.194,0.369,41,32.7
20220905001002000_00003602.sum,2022-09-05T00:10:02.335,28.692165,106.177907,23.636,3.884,5.551,0.283,42,246.2
20220905001002000_00003722.sum,2022-09-05T00:10:01.351,29.166261,101.633972,16.974,2.218,10.262,0.402,16,78.3
20220905001002000_00003782.sum,2022-09-05T00:10:02.331,29.138057,106.718649,35.131,7.457,20.290,0.259,30,275.0
20220905001002000_00003902.sum,2022-09-05T00:10:02.304,29.612537,101.117348,10.479,1.632,10.138,0.531,25,49.9
20220905001002000_00003962.sum,2022-09-05T00:10:02.408,29.596100,106.228938,19.169,4.434,9.919,0.203,21,258.5
20220905001002000_00004082.sum,2022-09-05T00:10:01.605,30.075688,101.621382,20.370,1.875,6.522,0.304,17,57.5
20220905001002000_00004142.sum,2022-09-05T00:10:02.232,30.045480,106.200010,25.341,5.606,13.042,0.336,26,237.6
20220905001002000_00004262.sum,2022-09-05T00:10:01.264,30.523035,101.623019,21.926,1.241,4.826,0.299,36,48.9
20220905001002000_00004322.sum,2022-09-05T00:10:02.500,30.493419,106.802034,21.285,8.418,24.154,0.334,34,283.7
20220905001002000_00004382.sum,,,,,,,,,
20220905001002000_00004442.sum,2022-09-05T00:10:01.650,30.974552,102.141702,14.787,1.072,5.098,0.245,48,53.7
20220905001002000_00004502.sum,2022-09-05T00:10:03.058,30.949174,107.339479,41.593,13.497,36.128,0.334,23,319.4
20220905001002000_00004562.sum,,,,,,,,,
20220905001002000_00004622.sum,2022-09-05T00:10:01.389,31.421645,101.605227,9.692,1.497,5.166,0.317,46,112.6
20220905001002000_00004682.sum,2022-09-05T00:10:02.392,31.389527,106.296315,9.409,6.677,10.983,0.358,39,289.8
20220905001002000_00004802.sum,2022-09-05T00:10:01.762,31.841247,101.065194,22.227,7.206,20.087,0.366,18,235.1
20220905001002000_00004862.sum,2022-09-05T00:10:02.470,31.834763,105.825900,7.429,6.008,9.223,0.280,29,298.1
20220905001002000_00004982.sum,2022-09-05T00:10:02.037,32.270147,101.061865,14.244,3.993,11.725,0.323,44,238.5
20220905001002000_00005042.sum,2022-09-05T00:10:02.084,32.242492,106.368042,16.851,16.752,21.841,0.250,16,328.5
20220905001002000_00005162.sum,2022-09-05T00:09:50.787,29.205591,101.949129,40.199,44.788,57.098,1.857,14,312.4
20220905001002000_00005222.sum,2022-09-05T00:10:02.715,32.658820,105.884718,15.553,8.272,18.115,0.536,30,323.9
20220905001002000_00005342.sum,2022-09-05T00:10:05.828,33.052890,100.507990,45.466,10.582,34.879,0.419,27,320.2
20220905001002000_00005402.sum,2022-09-05T00:10:02.578,33.218953,105.386914,45.844,11.900,33.524,0.387,29,334.2
20220905001003000_00000783.sum,,,,,,,,,
20220905001003000_00000843.sum,,,,,,,,,
20220905001003000_00000963.sum,2022-09-05T00:10:03.232,22.377024,99.715022,38.776,12.706,33.488,0.372,15,319.2
20220905001003000_00001023.sum,2022-09-05T00:10:03.083,22.442126,104.096324,40.664,7.628,33.445,0.508,41,287.3
20220905001003000_00001143.sum,2022-09-05T00:10:02.900,22.877657,99.735585,12.249,6.178,9.755,0.267,26,302.9
20220905001003000_00001203.sum,2022-09-05T00:10:03.466,22.905730,104.097950,6.905,4.381,7.728,0.276,21,263.5
20220905001003000_00001323.sum,2022-09-05T00:10:03.820,23.305845,99.284118,16.343,11.396,17.486,0.467,14,311.6
20220905001003000_00001383.sum,2022-09-05T00:10:03.244,23.332000,103.623370,4.795,2.376,4.921,0.237,46,231.2
20220905001003000_00001503.sum,2022-09-05T00:10:03.490,23.694943,98.239375,22.696,8.791,28.368,0.453,39,318.5
20220905001003000_00001563.sum,2022-09-05T00:10:02.779,23.795285,103.129173,10.622,8.745,13.228,0.257,11,184.8
20220905001003000_00001683.sum,2022-09-05T00:10:03.033,24.179442,98.755103,19.677,4.916,8.086,0.408,34,283.7
20220905001003000_00001743.sum,2022-09-05T00:10:02.840,24.199220,103.146527,7.082,2.624,7.674,0.307,23,136.6
20220905001003000_00001863.sum,2022-09-05T00:10:03.977,24.637666,98.774286,13.011,4.886,11.248,0.413,37,263.3
20220905001003000_00001923.sum,2022-09-05T00:10:02.421,24.655762,103.166770,13.736,2.549,9.250,0.199,11,78.4
20220905001003000_00001983.sum,2022-09-05T00:10:04.311,24.628104,107.075782,41.215,20.739,33.328,0.325,28,316.4
20220905001003000_00002043.sum,2022-09-05T00:10:02.476,25.104174,98.147326,42.930,7.566,32.523,0.386,40,289.1
20220905001003000_00002103.sum,2022-09-05T00:10:02.987,25.105867,102.157881,9.220,1.444,8.167,0.386,32,65.8
20220905001003000_00002163.sum,2022-09-05T00:10:04.117,25.086694,107.130387,42.671,9.373,33.508,0.592,32,315.4
20220905001003000_00002223.sum,,,,,,,,,
20220905001003000_00002283.sum,2022-09-05T00:10:02.382,25.556708,102.145053,21.668,1.436,6.005,0.346,31,56.2
20220905001003000_00002343.sum,2022-09-05T00:10:02.675,25.535806,106.105501,21.295,3.766,4.725,0.541,29,247.0
20220905001003000_00002463.sum,2022-09-05T00:10:02.100,26.017710,101.658391,17.749,1.687,7.834,0.245,25,67.8
20220905001003000_00002523.sum,2022-09-05T00:10:02.911,25.999518,106.110141,20.619,3.181,3.945,0.561,44,236.4
20220905001003000_00002643.sum,2022-09-05T00:10:01.999,26.463938,101.162632,8.956,3.155,11.383,0.541,12,102.9
20220905001003000_00002703.sum,2022-09-05T00:10:02.901,26.444140,106.121012,12.335,2.785,6.858,0.461,38,245.8
20220905001003000_00002823.sum,2022-09-05T00:10:02.558,26.898802,100.644148,23.520,2.283,7.462,0.181,12,122.8
20220905001003000_00002883.sum,2022-09-05T00:10:02.368,26.895836,105.186797,26.527,2.425,4.090,0.326,29,163.5
20220905001003000_00003003.sum,2022-09-05T00:10:02.225,27.357651,100.634893,27.624,1.946,3.549,0.308,36,56.9
20220905001003000_00003063.sum,2022-09-05T00:10:02.867,27.345002,105.663505,13.868,3.584,12.093,0.405,23,211.3
20220905001003000_00003183.sum,2022-09-05T00:10:02.279,27.805533,100.623867,12.125,1.132,5.851,0.279,34,47.6
20220905001003000_00003243.sum,2022-09-05T00:10:02.563,27.792598,105.694122,27.073,3.924,5.904,0.307,26,214.0
20220905001003000_00003363.sum,2022-09-05T00:10:02.365,28.257351,101.122838,14.557,1.553,12.514,0.378,24,47.9
20220905001003000_00003423.sum,2022-09-05T00:10:02.699,28.251699,105.694843,12.803,3.357,4.435,0.293,27,217.7
20220905001003000_00003543.sum,2022-09-05T00:10:02.608,28.706942,101.119083,15.117,1.518,5.770,0.391,34,50.3
20220905001003000_00003603.sum,2022-09-05T00:10:03.136,28.684657,106.219361,6.724,4.469,7.626,0.519,20,237.2
20220905001003000_00003723.sum,2022-09-05T00:10:02.665,29.170296,101.631059,10.801,1.591,6.841,0.291,31,39.6
20220905001003000_00003783.sum,2022-09-05T00:10:03.559,29.135688,106.722128,12.875,6.153,14.520,0.402,46,269.4
20220905001003000_00003903.sum,2022-09-05T00:10:01.831,29.604267,101.613566,23.122,2.221,5.565,0.317,18,70.8
20220905001003000_00003963.sum,2022-09-05T00:10:03.421,29.603065,106.235425,12.280,3.243,6.622,0.461,39,242.7
20220905001003000_00004083.sum,2022-09-05T00:10:02.129,30.068875,101.623009,26.646,1.329,4.973,0.251,30,30.6
20220905001003000_00004143.sum,2022-09-05T00:10:03.075,30.044857,106.222145,25.714,2.883,6.506,0.287,46,241.9
20220905001003000_00004263.sum,2022-09-05T00:10:02.966,30.522981,101.616327,14.583,1.694,7.270,0.421,28,45.0
20220905001003000_00004323.sum,2022-09-05T00:10:03.359,30.492495,106.834104,11.810,7.646,17.690,0.262,25,274.8
20220905001003000_00004383.sum,,,,,,,,,
20220905001003000_00004443.sum,2022-09-05T00:10:02.215,30.959004,102.127126,27.565,5.683,19.049,0.533,13,67.3
20220905001003000_00004503.sum,2022-09-05T00:10:03.463,30.963062,107.459708,40.735,16.512,37.606,0.488,21,321.1
20220905001003000_00004563.sum,,,,,,,,,
20220905001003000_00004623.sum,2022-09-05T00:10:02.455,31.418280,101.614128,14.633,1.874,5.794,0.324,24,102.8
20220905001003000_00004683.sum,2022-09-05T00:10:02.671,31.401900,106.315499,16.005,6.312,11.007,0.536,35,288.8
20220905001003000_00004803.sum,2022-09-05T00:10:03.082,31.853022,101.062237,9.356,3.233,10.346,0.321,41,216.5
20220905001003000_00004863.sum,2022-09-05T00:10:03.515,31.824625,106.313724,24.698,3.604,6.494,0.421,45,310.1
20220905001003000_00004983.sum,2022-09-05T00:10:04.037,32.251363,101.047481,16.473,6.533,17.097,0.295,25,248.7
20220905001003000_00005043.sum,2022-09-05T00:10:03.609,32.283910,106.304995,14.168,9.633,20.565,0.349,20,321.3
20220905001003000_00005163.sum,2022-09-05T00:10:04.941,32.676910,101.044720,26.320,11.966,27.607,0.438,24,267.1
20220905001003000_00005223.sum,2022-09-05T00:10:03.332,32.667228,105.909774,20.383,7.999,17.571,0.338,42,322.7
20220905001003000_00005343.sum,2022-09-05T00:10:06.387,33.051832,100.469565,50.189,9.824,30.472,0.408,35,312.8
20220905001003000_00005403.sum,2022-09-05T00:10:03.372,33.209509,105.377743,36.765,13.706,39.897,0.425,38,330.8
20220905001004000_00000784.sum,,,,,,,,,
20220905001004000_00000844.sum,,,,,,,,,
20220905001004000_00000964.sum,2022-09-05T00:10:04.334,22.424143,99.739452,16.578,8.237,20.172,0.750,42,323.2
20220905001004000_00001024.sum,2022-09-05T00:10:04.261,22.352988,104.095738,31.343,12.317,37.746,0.288,21,299.9
20220905001004000_00001144.sum,2022-09-05T00:10:04.394,22.879940,99.730295,25.405,5.660,9.832,0.453,37,305.7
20220905001004000_00001204.sum,2022-09-05T00:10:05.169,22.885567,104.091884,47.160,7.280,27.341,0.233,15,267.4
20220905001004000_00001324.sum,2022-09-05T00:10:04.669,23.326929,99.267084,13.008,5.304,6.986,0.869,31,309.8
20220905001004000_00001384.sum,2022-09-05T00:10:03.864,23.328829,103.618146,13.226,4.080,7.777,0.222,23,217.6
20220905001004000_00001504.sum,2022-09-05T00:10:04.063,23.720750,98.742199,35.327,4.484,10.682,0.584,47,300.5
20220905001004000_00001564.sum,2022-09-05T00:10:03.733,23.753940,103.134145,3.929,2.797,4.160,0.301,25,183.6
20220905001004000_00001684.sum,2022-09-05T00:10:04.342,24.144981,98.762143,29.395,7.133,23.879,0.335,23,304.2
20220905001004000_00001744.sum,2022-09-05T00:10:03.349,24.223549,103.143290,9.280,2.212,6.469,0.487,20,146.9
