101,21,5,5.631,3.322
101,21,7.5,5.808,3.419
101,21,10,5.916,3.476
101,21,15,6.01,3.527
101,21,20,6.125,3.588
101,21,25,6.143,3.597
101,21,30,6.64,3.849
101,21,35,7.731,4.413
101,21,40,8.001,4.556
101,21,50,8.082,4.63
101,21,60,7.919,4.51
101,21,70,7.615,4.345
101.2,21,0,5.2,3.067
101.2,21,2.5,5.302,3.121
101.2,21,5,5.593,3.291
101.2,21,7.5,5.811,3.415
101.2,21,10,5.92,3.472
101.2,21,15,6.013,3.527
101.2,21,20,6.105,3.577
101.2,21,25,6.15,3.601
101.2,21,30,6.571,3.816
101.2,21,35,7.575,4.333
101.2,21,40,7.981,4.545
101.2,21,50,8.05,4.611
101.2,21,60,7.915,4.51
101.2,21,70,7.621,4.347
101.4,21,0,5.254,3.082
101.4,21,2.5,5.452,3.195
101.4,21,5,5.725,3.357
101.4,21,7.5,5.879,3.443
101.4,21,10,5.99,3.502
101.4,21,15,6.025,3.534
101.4,21,20,6.119,3.584
101.4,21,25,6.163,3.607
101.4,21,30,6.678,3.87
101.4,21,35,7.768,4.432
101.4,21,40,7.981,4.545
101.4,21,50,8.027,4.6
101.4,21,60,7.884,4.49
101.4,21,70,7.58,4.328
101.6,21,0,5.302,3.111
101.6,21,2.5,5.469,3.205
101.6,21,5,5.72,3.354
101.6,21,7.5,5.867,3.436
101.6,21,10,5.964,3.489
101.6,21,15,6.023,3.533
101.6,21,20,6.113,3.58
101.6,21,25,6.171,3.611
101.6,21,30,6.666,3.864
101.6,21,35,7.73,4.412
101.6,21,40,7.969,4.538
101.6,21,50,7.999,4.584
101.6,21,60,7.872,4.483
101.6,21,70,7.572,4.323
101.8,21,0,5.336,3.144
101.8,21,2.5,5.471,3.219
101.8,21,5,5.696,3.35
101.8,21,7.5,5.821,3.42
101.8,21,10,5.887,3.454
101.8,21,15,6.007,3.525
101.8,21,20,6.108,3.578
101.8,21,25,6.178,3.615
101.8,21,30,6.656,3.858
101.8,21,35,7.701,4.397
101.8,21,40,7.96,4.533
101.8,21,50,7.972,4.571
101.8,21,60,7.861,4.48
101.8,21,70,7.563,4.32
102,21,0,5.368,3.174
102,21,2.5,5.495,3.246
102,21,5,5.694,3.357
102,21,7.5,5.782,3.406
102,21,10,5.818,3.425
102,21,15,5.998,3.522
102,21,20,6.108,3.578
102,21,25,6.188,3.619
102,21,30,6.674,3.867
102,21,35,7.729,4.411
102,21,40,7.954,4.53
102,21,50,7.944,4.555
102,21,60,7.847,4.472
102,21,70,7.547,4.311
102.2,21,0,5.418,3.204
102.2,21,2.5,5.529,3.266
102.2,21,5,5.704,3.363
102.2,21,7.5,5.775,3.402
102.2,21,10,5.797,3.414
102.2,21,15,5.995,3.52
102.2,21,20,6.109,3.578
102.2,21,25,6.194,3.623
102.2,21,30,6.675,3.867
102.2,21,35,7.733,4.414
102.2,21,40,7.949,4.527
102.2,21,50,7.917,4.542
102.2,21,60,7.838,4.467
102.2,21,70,7.536,4.305
102.4,21,0,5.468,3.233
102.4,21,2.5,5.558,3.283
102.4,21,5,5.71,3.367
102.4,21,7.5,5.768,3.399
102.4,21,10,5.775,3.403
102.4,21,15,5.988,3.514
102.4,21,20,6.109,3.577
102.4,21,25,6.2,3.625
102.4,21,30,6.669,3.864
102.4,21,35,7.722,4.406
102.4,21,40,7.945,4.524
102.4,21,50,7.891,4.532
102.4,21,60,7.828,4.461
102.4,21,70,7.528,4.3
102.6,21,0,5.519,3.264
102.6,21,2.5,5.593,3.304
102.6,21,5,5.72,3.373
102.6,21,7.5,5.761,3.395
102.6,21,10,5.753,3.391
102.6,21,15,5.983,3.513
102.6,21,20,6.109,3.578
102.6,21,25,6.205,3.628
102.6,21,30,6.667,3.863
102.6,21,35,7.724,4.408
102.6,21,40,7.943,4.523
102.6,21,50,7.864,4.519
102.6,21,60,7.818,4.456
102.6,21,70,7.519,4.295
102.8,21,0,5.567,3.291
102.8,21,2.5,5.646,3.334
102.8,21,5,5.748,3.388
102.8,21,7.5,5.748,3.389
102.8,21,10,5.726,3.378
102.8,21,15,6.007,3.525
102.8,21,20,6.12,3.584
102.8,21,25,6.219,3.635
102.8,21,30,6.715,3.89
102.8,21,35,7.842,4.467
102.8,21,40,7.941,4.522
102.8,21,50,7.83,4.503
102.8,21,60,7.808,4.449
102.8,21,70,7.495,4.285
103,21,0,5.622,3.323
103,21,2.5,5.661,3.343
103,21,5,5.738,3.383
103,21,7.5,5.745,3.387
103,21,10,5.708,3.368
103,21,15,5.972,3.506
103,21,20,6.114,3.581
103,21,25,6.214,3.633
103,21,30,6.661,3.862
103,21,35,7.735,4.413
103,21,40,7.942,4.521
103,21,50,7.809,4.491
103,21,60,7.8,4.446
103,21,70,7.502,4.287
103.2,21,0,5.675,3.354
103.2,21,2.5,5.696,3.363
103.2,21,5,5.747,3.387
103.2,21,7.5,5.738,3.382
103.2,21,10,5.687,3.356
103.2,21,15,5.965,3.503
103.2,21,20,6.117,3.583
103.2,21,25,6.215,3.634
103.2,21,30,6.653,3.857
103.2,21,35,7.736,4.414
103.2,21,40,7.946,4.524
103.2,21,50,7.781,4.479
103.2,21,60,7.791,4.442
103.2,21,70,7.496,4.284
103.4,21,0,5.728,3.385
103.4,21,2.5,5.729,3.381
103.4,21,5,5.755,3.39
103.4,21,7.5,5.737,3.379
103.4,21,10,5.673,3.346
103.4,21,15,5.94,3.487
103.4,21,20,6.116,3.581
103.4,21,25,6.213,3.633
103.4,21,30,6.622,3.841
103.4,21,35,7.683,4.386
